,pdf_id,title,abstract,affiliations,authors,journal,date,keywords,url,open_access,doi,pdf_link
0,13,"Implementing malaria control in South Africa, Eswatini and southern Mozambique during the COVID-19 pandemic","The COVID-19 pandemic has strained healthcare delivery systems in a number of southern African countries. Despite this, it is imperative that malaria control and elimination activities continue, especially to reduce as far as possible the number and rate of hospitalisations caused by malaria. The implementation of enhanced malaria control/elimination activities in the context of COVID-19 requires measures to protect healthcare workers and the communities they serve. The aim of this review is therefore to present innovative ideas for the timely implementation of malaria control without increasing the risk of COVID-19 to healthcare workers and communities. Specific recommendations for parasite and vector surveillance, diagnosis, case management, mosquito vector control and community outreach and sensitisation are given.","['1 Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, National Health Laboratory Service, Johannesburg, South Africa; Wits Research Institute for Malaria, School of Pathology, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg, South Africa. lucilleb@nicd.ac.za.']","B D Brooke, J Raman, J Frean, J Rundle, F Maartens, E Misiani, A Mabuza, K I Barnes, D P Moonasar, Q Dlamini, S Charles, L Blumberg, ",South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,2020,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33403980,False,,
1,2,The on-going problem of Anopheles mosquito species in Africa,NO_ABSTRACT,"['1 Wits Research Institute for Malaria, School of Pathology, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg, South Africa; Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, Johannesburg, South Africa.']","Maureen Coetzee, ",Theoretical biology forum,2020,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33929011,False,https://doi.org/10.19272/202011402013,
2,17,Cerebral malaria,"Malaria remains of significant public health concern under the tropics, causing millions of deaths annually. The disease is caused by protozoans of the Plasmodium genus, of which harbors several distinct species. Human infection occurs during the blood meal of an infected female mosquito belonging to the Anopheles genus. It is estimated that around 1% of children infected with Plasmodium falciparum develops a more severe form of malaria, which may eventually lead to cerebral complications including cerebral malaria (CM). CM can be positively diagnosed in patients unable to localize a painful stimulus, with peripheral asexual P. falciparum parasitemia and no other identifiable causes of an encephalopathy. Unarousable comas along with the presence of asexual forms of the parasite on a peripheral blood smear are hallmarks of the disease. While the molecular mechanisms underlying the pathogenesis of CM have yet be fully elucidated, the pathology in itself indicates a clear disease of the vascular endothelium. It is characterized by parasite sequestration, inflammatory cytokine production and vascular leakage, eventually resulting in brain hypoxia. The condition requires systemic health management consisting of focused nursing practices, supportive care, and anti-malarial drugs. The continued understanding of pathogenic mechanisms leading to the onset of CM is fundamental and key for the expansion and development of appropriate neuroprotective interventions. Future research perspectives may also include the development of field-based and rapid diagnostic tests for CM, understanding of host-pathogen interactions to advance development of prevention tools and therapies, and antimalarial drug trials.","['1 Department of Parasitology, National Institute of Biomedical Research, BP 1187 Kinshasa, Gombe, Democratic Republic of the Congo. Electronic address: alandela@inrb.cd.', '2 Department of Parasitology, National Institute of Biomedical Research, BP 1187 Kinshasa, Gombe, Democratic Republic of the Congo; Department of Tropical Medicine, School of Medicine, University of Kinshasa, BP 834 Kinshasa XI, Democratic Republic of the Congo. Electronic address: dieudonne.mumba@inrb.cd.']","Ange Landela Luzolo, Dieudonné Mumba Ngoyi, ",Brain research bulletin,NO_DATE,Cerebral malaria; Plasmodium falciparum; Tropical neurology.,https://pubmed.ncbi.nlm.nih.gov/30658131,False,https://doi.org/10.1016/j.brainresbull.2019.01.010,
3,12,Current Situation of Malaria in Africa,"Malaria infection is one of the major causes of deaths in the African continent. The high burden of malaria in Africa is due to P. falciparum, which adapts and cospecializes with Anopheles gambiae, the most effective and widespread malaria vector. Since 2000, the incidence of malaria has been reduced by 17% and malaria mortality rates by 26%. However, the rate of decline has stalled and even reversed in some regions since 2014. In 2017 as described by the latest World malaria report, 219 million malaria cases were reported, up from 2017 million cases reported in 2016 in 91 countries, and the global tally of malaria deaths reached 435,000 deaths, compared with 451,000 estimated deaths in 2016. Despite these achievements, the African region continues to account for about 92% of malaria cases and deaths worldwide. Therefore, it is important to master the current situation of malaria in Africa to see how to better plan its elimination. In this chapter, we present the current situation and prospective means to improve it, including a salutogenesis approach.","['1 Faculty of Science, University of Yaoundé 1, Yaoundé, Cameroon. wfmbacham@yahoo.com.', '2 Malaria Research Unit, Centre Pasteur du Cameroun, Yaoundé, Cameroon.', '3 Department of Biochemistry, Faculty of Science, University of Yaoundé 1, Yaoundé, Cameroon.', '4 Institute of Medical Research and Medicinal Plants Studies (IMPM), Ministry of Scientific Research and Innovation, Yaoundé, Cameroon.']","Wilfred Fon Mbacham, Lawrence Ayong, Magellan Guewo-Fokeng, Valerie Makoge, ","Methods in molecular biology (Clifton, N.J.)",NO_DATE,Africa; Burden; Malaria; Salutogenesis.,https://pubmed.ncbi.nlm.nih.gov/31267491,False,https://doi.org/10.1007/978-1-4939-9550-9_2,
4,16,Mathematical modeling of climate change and malaria transmission dynamics: a historical review,"Malaria, one of the greatest historical killers of mankind, continues to claim around half a million lives annually, with almost all deaths occurring in children under the age of five living in tropical Africa. The range of this disease is limited by climate to the warmer regions of the globe, and so anthropogenic global warming (and climate change more broadly) now threatens to alter the geographic area for potential malaria transmission, as both the Plasmodium malaria parasite and Anopheles mosquito vector have highly temperature-dependent lifecycles, while the aquatic immature Anopheles habitats are also strongly dependent upon rainfall and local hydrodynamics. A wide variety of process-based (or mechanistic) mathematical models have thus been proposed for the complex, highly nonlinear weather-driven Anopheles lifecycle and malaria transmission dynamics, but have reached somewhat disparate conclusions as to optimum temperatures for transmission, and the possible effect of increasing temperatures upon (potential) malaria distribution, with some projecting a large increase in the area at risk for malaria, but others predicting primarily a shift in the disease's geographic range. More generally, both global and local environmental changes drove the initial emergence of P. falciparum as a major human pathogen in tropical Africa some 10,000 years ago, and the disease has a long and deep history through the present. It is the goal of this paper to review major aspects of malaria biology, methods for formalizing these into mathematical forms, uncertainties and controversies in proper modeling methodology, and to provide a timeline of some major modeling efforts from the classical works of Sir Ronald Ross and George Macdonald through recent climate-focused modeling studies. Finally, we attempt to place such mathematical work within a broader historical context for the ""million-murdering Death"" of malaria.","['1 Global Security Initiative, Arizona State University, Tempe, AZ, USA. seikenbe@asu.edu.', '2 School of Mathematical and Statistical Sciences, Arizona State University, Tempe, AZ, USA. seikenbe@asu.edu.', '3 School of Mathematical and Statistical Sciences, Arizona State University, Tempe, AZ, USA.']","Steffen E Eikenberry, Abba B Gumel, ",Journal of mathematical biology,NO_DATE,Climate change; Malaria; Ross–Macdonald; Thermal-response.,https://pubmed.ncbi.nlm.nih.gov/29691632,False,https://doi.org/10.1007/s00285-018-1229-7,
5,10,The expanding Anopheles gambiae species complex,NO_ABSTRACT,"['1 Imperial College London, London, UK.']","Samantha O' Loughlin, ",Pathogens and global health,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31997728,True,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc7144251/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144251/pdf/YPGH_114_1722434.pdf
6,1,"Prediction ability of vector species, environmental characteristics and socio-economic factors for malaria risk in Sub-Saharan African Countries","Malaria remains a major public health problem, causing 435,000 deaths in 2017. The objective of this study was to estimate the prediction ability of vector species associated with the prediction power of environmental and socio-economic factors for malaria risk. Logistic regression was used for malaria risk estimation. A Radial Basis Function model was applied for estimating the predictive ability of Anopheles species, environmental and socio-economic factors. The lowest fever prevalence was found where Anopheles melas was dominant. Anopheles coluzzi and Anopheles gambiae were the dominant species where prevalence of malaria was high. Altitude, country and vector species were the best predictive factors. Anopheles arabiensis, An. coluzzi and An. gambiae were most common in urban areas. This study will improve the prediction of malaria risk in targeted areas. We have observed how important it is to adapt health policies according to the dominant malaria vector in a region.","['1 Epidemiology, Biostatistics and Clinical Research Center, School of Public Health, Université Libre de Bruxelles (ULB), Campus Erasme, Brussels, Belgium.']","Elvire Mfueni Bikundi, Yves Coppieters, ",International journal of environmental health research,NO_DATE,Anopheles; Malaria; Sub-Saharan Africa; environmental characteristics; radial basis function.,https://pubmed.ncbi.nlm.nih.gov/32279543,False,https://doi.org/10.1080/09603123.2020.1745763,
7,4,"Increased Threat of Urban Malaria from Anopheles stephensi Mosquitoes, Africa","Malaria continues to be a major health threat in Africa, mainly in rural areas. Recently, the urban malaria vector Anopheles stephensi invaded Djibouti and Ethiopia, potentially spreading to other areas of Africa. Urgent action is needed to prevent urban malaria epidemics from emerging and causing a public health disaster.",NO_AFFILIATIONS,"Willlem Takken, Steve Lindsay, ",Emerging infectious diseases,NO_DATE,Africa; Anopheles stephensi; mosquitoes; parasites; urban malaria; vector-borne infections; vectors.,https://pubmed.ncbi.nlm.nih.gov/31063455,True,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc6590739/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6590739/pdf/19-0301.pdf
8,9,The genomics of insecticide resistance: insights from recent studies in African malaria vectors,"Over 80% of the world's population is at risk from arthropod-vectored diseases, and arthropod crop pests are a significant threat to food security. Insecticides are our front-line response for controlling these disease vectors and pests, and consequently the increasing prevalence of insecticide resistance is of global concern. Here we provide a brief overview of how genomics can be used to implement effective insecticide resistance management (IRM), with a focus on recent advances in the study of Anopheles gambiae, the major vector of malaria in Africa. These advances unlock the potential for a predictive form of IRM, allowing tractable feedback for stakeholders, where the latest field data and well parameterised models can maximise the lifetime and effectiveness of available insecticides.","['1 Wellcome Sanger Institute, Hinxton CB10 1SA, United Kingdom. Electronic address: chris.clarkson@sanger.ac.uk.', '2 The Biodiversity Consultancy Ltd, Cambridge CB2 1SJ, United Kingdom.', '3 Big Data Institute, Oxford OX3 7FZ, United Kingdom.']","Chris S Clarkson, Helen J Temple, Alistair Miles, ",Current opinion in insect science,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30025626,True,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc6060083/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6060083/pdf/main.pdf
9,19,A Revival of Epidemiological Entomology in Senegal,NO_ABSTRACT,"['1 Environmental Health and Ecological Sciences Thematic Group, Ifakara Health Institute, Ifakara, Morogoro, United Republic of Tanzania.', '2 Department of Vector Biology, Liverpool School of Tropical Medicine, Liverpool, United Kingdom.']","Gerry F Killeen, ",The American journal of tropical medicine and hygiene,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29582735,True,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc5953399/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5953399/pdf/tpmd180162.pdf
